,Country,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
0,Switzerland,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997
1,Iceland,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201
2,Denmark,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
3,Norway,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997
4,Canada,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997
5,Finland,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955
6,Netherlands,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657
7,Sweden,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004
8,New Zealand,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425
9,Australia,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
10,Israel,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854
11,Costa Rica,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728
12,Austria,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
13,Mexico,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003
14,United States,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011
15,Brazil,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
16,Luxembourg,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999
17,Ireland,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757
18,Belgium,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
19,United Arab Emirates,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743
20,United Kingdom,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002
21,Oman,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003
22,Singapore,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8850099999999999
23,Panama,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848
24,Germany,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003
25,Chile,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
26,Qatar,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674
27,France,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126
28,Argentina,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003
29,Czech Republic,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
30,Uruguay,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2.3214200000000003
31,Colombia,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
32,Thailand,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2.31945
33,Saudi Arabia,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2.43872
34,Spain,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367
35,Malta,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488
36,Kuwait,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,1.8763400000000001
37,Suriname,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094
38,Trinidad and Tobago,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003
39,El Salvador,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035
40,Guatemala,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255
41,Uzbekistan,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.2374099999999997
42,Japan,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435
43,Ecuador,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002
