,Country,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.ELC.TIME,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.PAYM,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN
0,Switzerland,6.0,9.0,10.0,2.0,76.04,0.0,26.0,6.0,26.1,0.0,39.0,3.0,6.0,390.0,16.0,4.0,2.0,10.0,6.0,63.0,19.0,28.8,156.0,13.0,30.5,291.0,334.0,231.0,3.9,3.6,4.3,2.7,100.0,100.0,100.0,4.0,12400.0,0.00804657373270495,99.9,99.8,99.9,5.0,3.1,3.4,3.6
1,Iceland,4.0,16.0,0.0,6.0,78.93,7.0,19.0,7.0,100.0,0.0,22.0,1.0,5.0,417.0,3.5,3.0,2.2,4.0,5.0,140.0,21.0,29.6,84.0,17.0,41.2698412698413,7.0,9.0,4.0,2.0,1.8,2.2,0.9,100.0,100.0,100.0,0.0,14600.0,0.00686636619335339,98.8,100.0,98.7,3.0,1.4,1.6,1.7
2,Denmark,7.0,18.0,4.0,2.0,84.4,7.0,3.0,6.0,7.7,0.0,38.0,1.0,8.0,410.0,4.0,3.0,0.2,3.0,4.0,130.0,10.0,24.5,64.0,7.0,37.9888268156425,150.0,187.0,129.0,3.5,3.2,3.9,2.5,100.0,100.0,100.0,4.0,9500.0,0.0105353605844449,99.6,99.6,99.6,6.0,2.6,2.9,3.2
3,Norway,7.0,23.0,14.0,7.0,81.61,7.0,9.0,6.0,100.0,0.0,66.0,0.9,5.0,280.0,3.0,1.0,0.9,4.0,4.0,83.0,4.0,39.5,110.5,11.0,39.644970414201204,122.0,160.0,91.0,2.6,2.3,2.9,1.5,100.0,100.0,100.0,3.0,11500.0,0.0086991588829894,98.1,98.3,98.0,5.0,1.8,2.0,2.2
4,Canada,15.0,42.0,11.0,11.0,80.07,8.0,14.0,8.0,100.0,0.0,137.0,0.8,9.0,570.0,16.5,6.0,0.4,1.5,2.0,131.0,8.0,21.1,249.0,12.0,25.3289473684211,1587.0,1824.0,1181.0,4.9,4.5,5.3,3.2,99.0,100.0,99.8,27.0,8800.0,0.0113285425503039,99.8,99.0,100.0,7.0,4.0,4.3,4.7
5,Finland,9.0,6.0,8.0,1.0,81.05,6.0,10.0,6.0,20.5,0.0,42.0,0.9,7.0,375.0,32.0,3.0,1.0,14.0,3.0,93.0,8.0,37.9,64.0,15.0,41.5,110.0,134.0,75.0,2.3,2.1,2.6,1.3,100.0,100.0,100.0,2.0,21700.0,0.00460834695130561,97.6,88.0,99.4,3.0,1.7,1.9,2.1
6,Netherlands,8.0,15.0,3.0,3.0,75.94,4.0,28.0,7.0,78.2,0.0,110.0,1.1,3.0,514.0,2.5,5.0,4.6,4.0,4.0,123.0,9.0,41.0,161.0,13.0,37.3333333333333,576.0,682.0,432.0,3.8,3.4,4.2,2.4,100.0,100.0,100.0,12.0,8700.0,0.0115154643304214,97.7,99.9,97.5,7.0,2.9,3.2,3.5
7,Sweden,8.0,15.0,14.0,1.0,81.72,8.0,8.0,5.0,100.0,0.0,52.0,2.0,6.0,321.0,14.0,1.0,0.5,7.0,3.0,122.0,6.0,49.1,116.0,7.0,43.5530085959885,271.0,343.0,181.0,3.0,2.7,3.3,1.6,100.0,100.0,100.0,5.0,12900.0,0.00776987452106635,99.3,99.6,99.3,4.0,2.2,2.4,2.6
8,New Zealand,67.0,35.0,23.0,9.0,86.79,10.0,2.0,8.0,100.0,0.0,58.0,1.3,12.0,216.0,1.0,2.0,0.3,0.5,1.0,152.0,8.0,34.3,93.0,10.0,31.404958677686,280.0,342.0,184.0,5.7,5.1,6.2,3.1,100.0,100.0,100.0,7.0,4500.0,0.021991303420586004,,,,11.0,4.2,4.7,5.2
9,Australia,50.0,111.0,92.0,56.0,80.08,8.0,13.0,7.0,100.0,0.0,75.0,1.0,11.0,395.0,4.5,5.0,0.7,2.5,3.0,105.0,11.0,47.6,112.0,10.0,26.6666666666667,896.0,1146.0,657.0,3.8,3.4,4.1,2.2,100.0,100.0,100.0,19.0,8700.0,0.0115212046791266,100.0,100.0,100.0,6.0,2.7,3.0,3.3
10,Israel,17.0,42.0,0.0,14.0,70.56,7.0,53.0,7.0,67.5,0.0,102.0,2.0,6.0,975.0,81.0,6.0,3.4,13.0,5.0,235.0,33.0,30.6,209.0,15.0,24.1666666666667,561.0,693.0,368.0,4.0,3.7,4.3,2.1,100.0,100.0,100.0,9.0,6200.0,0.0161864734690459,100.0,100.0,100.0,5.0,3.0,3.2,3.4
11,Costa Rica,23.0,57.0,132.0,10.0,68.55,2.0,58.0,7.0,100.0,27.5,45.0,3.0,10.0,852.0,19.0,5.0,11.1,24.0,9.0,151.0,9.0,58.0,118.0,15.0,33.3333333333333,577.0,663.0,421.0,9.7,8.7,10.6,6.2,91.9,99.6,97.8,18.0,2100.0,0.0476442590364388,94.5,92.3,95.2,25.0,7.6,8.5,9.3
12,Austria,12.0,11.0,21.0,3.0,78.38,5.0,21.0,7.0,52.8,2.2,23.0,1.1,5.0,397.0,20.5,3.0,0.3,22.0,8.0,166.0,12.0,51.7,223.0,11.0,30.60109289617489,239.0,288.0,173.0,3.5,3.2,3.9,2.1,100.0,100.0,100.0,3.0,18200.0,0.0054918176351993605,100.0,100.0,100.0,4.0,2.6,2.9,3.1
