,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Bird Species, Threatened","Fish species, threatened","Plant species (higher), threatened","Mammal species, threatened",Distance to frontier score,Business extent of disclosure index,Ease of doing business index,Depth of credit information index,Private credit bureau coverage (% of adults),Public credit registry coverage (% of adults),Time required to get electricity (days),Time to resolve insolvency (years),Strength of legal rights index,Time required to enforce a contract (days),Time required to register property (days),Procedures to register property (number),Cost of business start-up procedures (%),Time required to start a business (days),Start-up procedures to register a business (number),Time to prepare and pay taxes (hours),Tax payments (number),Total tax rate (% of commercial profits),Time required to build a warehouse (days),Procedures to build a warehouse (number),Proportion of seats held by women in parliaments (%),Number of infant deaths,Number of under-five deaths,Number of neonatal deaths,"Mortality rate, under-5(per 1,000)","Mortality rate, under-5, female(per 1,000)","Mortality rate, under-5, male(per 1,000)","Mortality rate, neonatal(per 1,000)","Improved water source, rural (%)","Improved water source, urban (%)",Improved water source (%),Number of maternal deaths,Lifetime risk of maternal death,Lifetime risk of maternal death (%),Improved sanitation facilities (%),"Improved sanitation facilities, rural (%)","Improved sanitation facilities, urban (%)","Maternal mortality ratio(per 100,000)","Mortality rate, infant, female(per 1,000)","Mortality rate, infant(per 1,000)","Mortality rate, infant, male(per 1,000)"
0,Switzerland,Western Europe,1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,6.0,9.0,10.0,2.0,76.04,0.0,26.0,6.0,26.1,0.0,39.0,3.0,6.0,390.0,16.0,4.0,2.0,10.0,6.0,63.0,19.0,28.8,156.0,13.0,30.5,291.0,334.0,231.0,3.9,3.6,4.3,2.7,100.0,100.0,100.0,4.0,12400.0,0.00804657373270495,99.9,99.8,99.9,5.0,3.1,3.4,3.6
1,Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,4.0,16.0,0.0,6.0,78.93,7.0,19.0,7.0,100.0,0.0,22.0,1.0,5.0,417.0,3.5,3.0,2.2,4.0,5.0,140.0,21.0,29.6,84.0,17.0,41.2698412698413,7.0,9.0,4.0,2.0,1.8,2.2,0.9,100.0,100.0,100.0,0.0,14600.0,0.00686636619335339,98.8,100.0,98.7,3.0,1.4,1.6,1.7
2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,7.0,18.0,4.0,2.0,84.4,7.0,3.0,6.0,7.7,0.0,38.0,1.0,8.0,410.0,4.0,3.0,0.2,3.0,4.0,130.0,10.0,24.5,64.0,7.0,37.9888268156425,150.0,187.0,129.0,3.5,3.2,3.9,2.5,100.0,100.0,100.0,4.0,9500.0,0.0105353605844449,99.6,99.6,99.6,6.0,2.6,2.9,3.2
3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,7.0,23.0,14.0,7.0,81.61,7.0,9.0,6.0,100.0,0.0,66.0,0.9,5.0,280.0,3.0,1.0,0.9,4.0,4.0,83.0,4.0,39.5,110.5,11.0,39.644970414201204,122.0,160.0,91.0,2.6,2.3,2.9,1.5,100.0,100.0,100.0,3.0,11500.0,0.0086991588829894,98.1,98.3,98.0,5.0,1.8,2.0,2.2
4,Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,15.0,42.0,11.0,11.0,80.07,8.0,14.0,8.0,100.0,0.0,137.0,0.8,9.0,570.0,16.5,6.0,0.4,1.5,2.0,131.0,8.0,21.1,249.0,12.0,25.3289473684211,1587.0,1824.0,1181.0,4.9,4.5,5.3,3.2,99.0,100.0,99.8,27.0,8800.0,0.0113285425503039,99.8,99.0,100.0,7.0,4.0,4.3,4.7
5,Finland,Western Europe,6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,9.0,6.0,8.0,1.0,81.05,6.0,10.0,6.0,20.5,0.0,42.0,0.9,7.0,375.0,32.0,3.0,1.0,14.0,3.0,93.0,8.0,37.9,64.0,15.0,41.5,110.0,134.0,75.0,2.3,2.1,2.6,1.3,100.0,100.0,100.0,2.0,21700.0,0.00460834695130561,97.6,88.0,99.4,3.0,1.7,1.9,2.1
6,Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,8.0,15.0,3.0,3.0,75.94,4.0,28.0,7.0,78.2,0.0,110.0,1.1,3.0,514.0,2.5,5.0,4.6,4.0,4.0,123.0,9.0,41.0,161.0,13.0,37.3333333333333,576.0,682.0,432.0,3.8,3.4,4.2,2.4,100.0,100.0,100.0,12.0,8700.0,0.0115154643304214,97.7,99.9,97.5,7.0,2.9,3.2,3.5
7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,8.0,15.0,14.0,1.0,81.72,8.0,8.0,5.0,100.0,0.0,52.0,2.0,6.0,321.0,14.0,1.0,0.5,7.0,3.0,122.0,6.0,49.1,116.0,7.0,43.5530085959885,271.0,343.0,181.0,3.0,2.7,3.3,1.6,100.0,100.0,100.0,5.0,12900.0,0.00776987452106635,99.3,99.6,99.3,4.0,2.2,2.4,2.6
8,New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,67.0,35.0,23.0,9.0,86.79,10.0,2.0,8.0,100.0,0.0,58.0,1.3,12.0,216.0,1.0,2.0,0.3,0.5,1.0,152.0,8.0,34.3,93.0,10.0,31.404958677686,280.0,342.0,184.0,5.7,5.1,6.2,3.1,100.0,100.0,100.0,7.0,4500.0,0.021991303420586004,,,,11.0,4.2,4.7,5.2
9,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,50.0,111.0,92.0,56.0,80.08,8.0,13.0,7.0,100.0,0.0,75.0,1.0,11.0,395.0,4.5,5.0,0.7,2.5,3.0,105.0,11.0,47.6,112.0,10.0,26.6666666666667,896.0,1146.0,657.0,3.8,3.4,4.1,2.2,100.0,100.0,100.0,19.0,8700.0,0.0115212046791266,100.0,100.0,100.0,6.0,2.7,3.0,3.3
10,Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,17.0,42.0,0.0,14.0,70.56,7.0,53.0,7.0,67.5,0.0,102.0,2.0,6.0,975.0,81.0,6.0,3.4,13.0,5.0,235.0,33.0,30.6,209.0,15.0,24.1666666666667,561.0,693.0,368.0,4.0,3.7,4.3,2.1,100.0,100.0,100.0,9.0,6200.0,0.0161864734690459,100.0,100.0,100.0,5.0,3.0,3.2,3.4
11,Costa Rica,Latin America and Caribbean,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,23.0,57.0,132.0,10.0,68.55,2.0,58.0,7.0,100.0,27.5,45.0,3.0,10.0,852.0,19.0,5.0,11.1,24.0,9.0,151.0,9.0,58.0,118.0,15.0,33.3333333333333,577.0,663.0,421.0,9.7,8.7,10.6,6.2,91.9,99.6,97.8,18.0,2100.0,0.0476442590364388,94.5,92.3,95.2,25.0,7.6,8.5,9.3
12,Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,12.0,11.0,21.0,3.0,78.38,5.0,21.0,7.0,52.8,2.2,23.0,1.1,5.0,397.0,20.5,3.0,0.3,22.0,8.0,166.0,12.0,51.7,223.0,11.0,30.60109289617489,239.0,288.0,173.0,3.5,3.2,3.9,2.1,100.0,100.0,100.0,3.0,18200.0,0.0054918176351993605,100.0,100.0,100.0,4.0,2.6,2.9,3.1
13,Mexico,Latin America and Caribbean,14,7.187,0.041760000000000005,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,61.0,179.0,382.0,101.0,73.72,8.0,38.0,8.0,100.0,0.0,78.9,1.8,10.0,389.0,63.7,6.8,17.9,6.3,6.0,286.0,6.0,51.7,86.4,10.5,38.0,26820.0,31278.0,16596.0,13.2,11.9,14.4,7.0,92.1,97.2,96.1,890.0,1100.0,0.0888611041768879,85.2,74.5,88.0,38.0,10.2,11.3,12.4
14,United States,North America,15,7.119,0.03839,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,77.0,247.0,379.0,35.0,82.15,7.4,7.0,8.0,100.0,0.0,89.6,1.5,11.0,420.0,15.2,4.4,1.1,5.6,6.0,175.0,10.6,43.9,80.6,15.8,19.399538106235603,21321.0,24923.0,13699.0,6.5,5.9,7.1,3.6,98.2,99.4,99.2,550.0,3800.0,0.0261155611660945,100.0,100.0,100.0,14.0,5.0,5.6,6.1
15,Brazil,Latin America and Caribbean,16,6.983,0.040760000000000005,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,165.0,85.0,516.0,82.0,57.67,5.0,116.0,7.0,79.0,55.1,43.6,4.0,2.0,731.0,31.7,13.6,3.8,83.0,11.0,2600.0,9.6,69.2,425.7,18.2,9.94152046783626,46995.0,52415.0,28604.0,16.4,14.9,17.7,8.9,87.0,100.0,98.1,1300.0,1200.0,0.080088381024304,82.8,51.5,88.0,44.0,13.3,14.6,15.8
16,Luxembourg,Western Europe,17,6.946000000000001,0.03499,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,3.0,1.0,0.0,0.0,68.31,6.0,61.0,0.0,0.0,0.0,56.0,2.0,3.0,321.0,26.5,7.0,2.0,18.5,6.0,55.0,23.0,20.1,157.0,11.0,28.3333333333333,10.0,13.0,6.0,1.9,1.7,2.0,0.9,100.0,100.0,100.0,1.0,6500.0,0.0154797646652159,97.6,98.5,97.5,10.0,1.3,1.5,1.6
